,timestamp,open,high,low,close
0,2019-10-22 12:00:00,19975.03596919485,20814.873214493313,19627.41467373496,19975.03596919485
1,2019-10-22 16:00:00,19975.03596919485,20889.431299255608,18523.316604340023,19502.889165022083
2,2019-10-22 20:00:00,19502.889165022083,20333.02935142996,18568.28912992765,19890.521589301945
3,2019-10-23 00:00:00,19890.521589301945,21245.20096534393,18986.727109912725,20845.40375658057
4,2019-10-23 04:00:00,20845.40375658057,21468.775326170624,20424.301740754283,21027.132746506813
5,2019-10-23 08:00:00,21027.132746506813,21615.629395681754,20086.61758516755,20719.25309096977
6,2019-10-23 12:00:00,20719.25309096977,21218.25124385777,18911.542958814553,19351.54673496673
7,2019-10-23 16:00:00,19351.54673496673,22619.06861366058,18370.746507981905,21893.388392012377
8,2019-10-23 20:00:00,21893.388392012377,22756.933988167115,21240.259341778336,21516.99441492708
9,2019-10-24 00:00:00,21516.99441492708,22351.66012952322,21415.51099691684,21671.796048320895
10,2019-10-24 04:00:00,21671.796048320895,22527.59870238976,20315.771621018383,21242.02517818478
11,2019-10-24 08:00:00,21242.02517818478,22297.045268161808,20829.60126744481,22191.616221046475
12,2019-10-24 12:00:00,22191.616221046475,22935.242038856406,22181.49541655414,22320.2902971433
13,2019-10-24 16:00:00,22320.2902971433,22890.73572889414,19474.008044615515,20387.10811757305
14,2019-10-24 20:00:00,20387.10811757305,22917.36254522376,19620.67823463732,22356.369189204517
15,2019-10-25 00:00:00,22356.369189204517,23086.513237240888,20477.391094553393,20723.482009422536
16,2019-10-25 04:00:00,20723.482009422536,21218.795994328346,19800.813950204843,20640.8209838851
17,2019-10-25 08:00:00,20640.8209838851,21918.774118249206,19790.905082377514,21360.1968360808
18,2019-10-25 12:00:00,21360.1968360808,22186.238674561835,20461.63980790387,21191.231704704118
19,2019-10-25 16:00:00,21191.231704704118,22170.7527678204,20781.104850154283,21677.969878790474
20,2019-10-25 20:00:00,21677.969878790474,22741.60902079081,21110.614256540273,22417.2383436574
21,2019-10-26 00:00:00,22417.2383436574,22698.79184768131,21893.957997384565,22517.348410822324
22,2019-10-26 04:00:00,22517.348410822324,23453.120720844494,21669.886176616936,22200.717713852406
